Nombre d'évaluation  Performance
1 27590
2 27590
3 27590
4 27590
5 27590
6 27590
7 27590
8 27590
9 27590
10 27590
11 27590
12 27590
13 27590
14 27590
15 27590
16 27590
17 27590
18 27590
19 27590
20 27590
21 27590
22 27590
23 27590
24 27590
25 27590
26 27590
27 27590
28 27590
29 27590
30 27590
31 27590
32 27590
33 27590
34 27590
35 27590
36 27590
37 27590
38 27590
39 27590
40 27590
41 27590
42 27590
43 27590
44 27590
45 27590
46 27590
47 27590
48 27590
49 27590
50 27590
51 27590
52 27590
53 27590
54 27590
55 27590
56 27590
57 27590
58 27590
59 27590
60 27590
61 27590
62 27590
63 27590
64 27590
65 27590
66 27590
67 27590
68 27590
69 27590
70 27590
71 27590
72 27590
73 27590
74 27590
75 27590
76 27590
77 27590
78 27590
79 27590
80 27590
81 27590
82 27590
83 27590
84 27590
85 27590
86 27590
87 27590
88 27590
89 27590
90 27590
91 27519
92 27519
93 27519
94 27519
95 27519
96 27519
97 27519
98 27519
99 27519
